dateTime,timerName,progNo,iActual2,pha2
2019-08-01 10:39:28.440,ub01l2-timer,101,8.48,44.07
2019-08-01 10:40:42.850,ub01l2-timer,101,8.53,44.20
2019-08-01 10:41:27.920,ub01l2-timer,101,8.48,44.31
2019-08-01 10:42:49.410,ub01l2-timer,101,8.47,45.26
2019-08-01 10:43:31.850,ub01l2-timer,101,8.54,42.40
2019-08-01 10:44:14.190,ub01l2-timer,101,8.53,41.90
2019-08-01 10:45:31.560,ub01l2-timer,101,8.55,42.11
2019-08-01 10:48:58.320,ub01l2-timer,101,8.49,41.62
2019-08-01 10:49:43.490,ub01l2-timer,101,8.51,41.79
2019-08-01 10:51:43.720,ub01l2-timer,101,8.50,41.60
2019-08-01 10:53:20.390,ub01l2-timer,101,8.51,41.79
2019-08-01 10:56:46.750,ub01l2-timer,101,8.48,42.07
2019-08-01 10:57:29.110,ub01l2-timer,101,8.49,41.54
2019-08-01 11:02:53.760,ub01l2-timer,101,8.45,42.21
2019-08-01 11:03:47.100,ub01l2-timer,101,8.56,44.61
2019-08-01 11:04:29.300,ub01l2-timer,101,8.47,44.99
2019-08-01 11:10:24.300,ub01l2-timer,101,8.47,44.47
2019-08-01 11:11:09.190,ub01l2-timer,101,8.51,45.07
2019-08-01 11:11:55.720,ub01l2-timer,101,8.48,45.01
2019-08-01 11:12:41.970,ub01l2-timer,101,8.53,44.57
2019-08-01 11:13:52.270,ub01l2-timer,101,8.56,44.67
2019-08-01 11:18:04.450,ub01l2-timer,101,8.47,44.55
2019-08-01 12:03:03.640,ub01l2-timer,101,8.51,44.64
2019-08-01 12:04:48.380,ub01l2-timer,101,8.45,43.97
2019-08-01 12:05:32.730,ub01l2-timer,101,8.50,44.07
2019-08-01 12:06:15.210,ub01l2-timer,101,8.53,41.66
2019-08-01 12:06:57.660,ub01l2-timer,101,8.46,41.30
2019-08-01 12:07:49.450,ub01l2-timer,101,8.49,41.12
2019-08-01 12:09:06.880,ub01l2-timer,101,8.58,42.18
2019-08-01 12:10:00.150,ub01l2-timer,101,8.56,44.94
2019-08-01 12:10:42.470,ub01l2-timer,101,8.54,44.33
2019-08-01 12:11:59.570,ub01l2-timer,101,8.57,44.78
2019-08-01 12:12:41.750,ub01l2-timer,101,8.58,44.19
2019-08-01 12:14:23.080,ub01l2-timer,101,8.58,43.91
2019-08-01 12:15:40.120,ub01l2-timer,101,8.57,41.97
2019-08-01 12:18:02.200,ub01l2-timer,101,8.63,41.95
2019-08-01 12:21:03.950,ub01l2-timer,101,8.57,41.81
2019-08-01 12:24:54.690,ub01l2-timer,101,8.64,42.20
2019-08-01 12:26:06.910,ub01l2-timer,101,8.61,43.41
2019-08-01 12:33:18.550,ub01l2-timer,101,8.64,41.47
2019-08-01 12:35:09.610,ub01l2-timer,101,8.58,42.00
2019-08-01 12:35:52.020,ub01l2-timer,101,8.59,42.19
2019-08-01 12:41:52.930,ub01l2-timer,101,8.57,41.94
2019-08-01 12:45:52.970,ub01l2-timer,101,8.58,41.78
2019-08-01 12:46:46.390,ub01l2-timer,101,8.60,45.10
2019-08-01 12:47:28.860,ub01l2-timer,101,8.55,44.29
2019-08-01 12:49:27.580,ub01l2-timer,101,8.58,44.45
2019-08-01 12:50:09.910,ub01l2-timer,101,8.61,45.04
2019-08-01 12:51:21.640,ub01l2-timer,101,8.58,43.84
2019-08-01 12:55:37.980,ub01l2-timer,101,8.57,44.41
2019-08-01 12:56:20.440,ub01l2-timer,101,8.56,42.19
2019-08-01 12:57:03.090,ub01l2-timer,101,8.58,42.11
2019-08-01 13:01:05.890,ub01l2-timer,101,8.72,42.26
2019-08-01 13:02:48.280,ub01l2-timer,101,8.54,41.96
2019-08-01 13:03:30.620,ub01l2-timer,101,8.54,41.87
2019-08-01 13:10:41.610,ub01l2-timer,101,8.50,41.90
2019-08-01 13:12:19.880,ub01l2-timer,101,8.56,41.81
2019-08-01 13:13:16.310,ub01l2-timer,101,8.50,42.67
2019-08-01 13:14:06.750,ub01l2-timer,101,8.54,42.92
2019-08-01 13:19:07.990,ub01l2-timer,101,8.52,44.19
2019-08-01 13:20:34.610,ub01l2-timer,101,8.50,43.94
2019-08-01 13:22:05.680,ub01l2-timer,101,8.46,42.07
2019-08-01 13:23:49.540,ub01l2-timer,101,8.55,42.61
2019-08-01 13:27:20.840,ub01l2-timer,101,8.58,43.21
2019-08-01 13:28:13.610,ub01l2-timer,101,8.58,43.01
2019-08-01 13:30:33.700,ub01l2-timer,101,8.51,44.18
2019-08-01 13:31:35.500,ub01l2-timer,101,8.59,41.90
2019-08-01 13:35:41.640,ub01l2-timer,101,8.55,42.16
2019-08-01 13:36:23.920,ub01l2-timer,101,8.61,42.02
