protRecord_ID,dateTime,timerName,progNo,spotName,wear,wearPerCent,monitorState,monitorState_txt,regulationState,regulationState_txt,measureState,measureState_txt,powerState,powerState_txt,sequenceState,sequenceState_txt,sequenceStateAdd,sequenceStateAdd_txt,sequenceRepeat,sequenceRepeat_txt,monitorMode,monitorMode_txt,iDemandStd,ilsts,regulationStd,regulationStd_txt,iDemand1,iActual1,regulation1,regulation1_txt,iDemand2,iActual2,regulation2,regulation2_txt,iDemand3,iActual3,regulation3,regulation3_txt,phaStd,pha1,pha2,pha3,t_iDemandStd,tActualStd,partIdentString,tipDressCounter,electrodeNo,voltageActualValue,voltageRefValue,currentActualValue,currentReferenceValue,weldTimeActualValue,weldTimeRefValue,energyActualValue,energyRefValue,powerActualValue,powerRefValue,resistanceActualValue,resistanceRefValue,pulseWidthActualValue,pulseWidthRefValue,stabilisationFactorActValue,stabilisationFactorRefValue,thresholdStabilisationFactor,wldEffectStabilisationFactor,uipActualValue,uipRefValue,uirExpulsionTime,uirMeasuringActive,uirMeasuringActive_txt,uirRegulationActive,uirRegulationActive_txt,uirMonitoringActive,uirMonitoringActive_txt,uirWeldTimeProlongationActive,uirWeldTimeProlongationActive_txt,uirQStoppRefCntValue,uirQStoppActCntValue,uirUipUpperTol,uirUipLowerTol,uirUipCondTol,uirPsfLowerTol,uirPsfCondTol
24,2020-02-17 16:11:24.890,FR FLR_12B,101,,134449.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.04,2,KSR,44.26,0.00,43.32,42.97,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
25,2020-02-17 16:11:26.580,FR FLR_12B,102,,134450.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.84,2,KSR,3.00,9.00,2,KSR,43.28,0.00,42.68,40.35,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
26,2020-02-17 16:11:28.530,FR FLR_12B,103,,134451.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.13,0,标准,3.00,0.00,2,KSR,3.00,8.03,2,KSR,3.00,9.01,2,KSR,42.34,0.00,40.62,42.39,0.00,221.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
27,2020-02-17 16:11:30.660,FR FLR_12B,104,,134452.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.13,0,标准,3.00,0.00,2,KSR,3.00,8.04,2,KSR,3.00,9.01,2,KSR,42.56,0.00,40.48,42.13,0.00,221.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
28,2020-02-17 16:11:32.610,FR FLR_12B,105,,134453.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.84,2,KSR,3.00,9.00,2,KSR,41.91,0.00,40.37,41.83,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
29,2020-02-17 16:11:11.860,FR FLR_11A,106,,127951.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.07,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.03,2,KSR,33.41,0.00,33.00,29.56,0.00,361.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
30,2020-02-17 16:11:14.490,FR FLR_11B,106,,128016.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.03,0,标准,3.00,0.00,2,KSR,3.00,7.83,2,KSR,3.00,9.04,2,KSR,35.71,0.00,34.93,33.23,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
31,2020-02-17 16:11:14.300,FR FLR_12A,106,,127900.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.06,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.03,2,KSR,38.23,0.00,37.50,35.47,0.00,361.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
32,2020-02-17 16:11:14.520,FR FLR_12B,106,,134454.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.01,2,KSR,45.06,0.00,44.19,45.08,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
33,2020-02-17 16:11:14.280,FR FLR_13B,106,,127918.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,7.71,0,标准,3.00,0.00,2,KSR,3.00,7.84,2,KSR,3.00,0.00,2,KSR,37.18,0.00,34.99,0.00,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
